lead_id,tag_bundle,engagement_level,strategic_fit
L001,"modular,graphic,high-touch",high,aligned
L002,"organic,low-touch,",medium,aligned
L003,"legacy,fragmented,",low,misaligned
L004,"tech-forward,scalable,",high,aligned
L005,"modular,legacy,",medium,misaligned
L006,"organic,fragmented,",low,unknown
L007,"emerging,tech-forward,",high,aligned
L008,"low-margin,legacy,",medium,misaligned
L009,"modular,scalable,",high,aligned
L010,"fragmented,unscored,",low,unknown
L011,"organic,high-touch,",high,aligned
L012,"modular,low-touch,",medium,misaligned
L013,"tech-forward,scalable,",high,aligned
L014,"legacy,low-margin,",low,misaligned
L015,"emerging,organic,",medium,aligned
L016,"modular,graphic,",low,aligned
L017,"fragmented,low-touch,",low,unknown
L018,"tech-forward,modular,",high,aligned
L019,"legacy,fragmented,",medium,misaligned
L020,"organic,scalable,",high,aligned
L021,"low-margin,unscored,",low,unknown
L022,"modular,high-touch,",high,aligned
L023,"legacy,low-touch,",medium,misaligned
L024,"tech-forward,emerging,",high,aligned
L025,"fragmented,organic,",medium,unknown
L026,"modular,graphic,",low,aligned
L027,"scalable,legacy,",medium,misaligned
L028,"organic,tech-forward,",high,aligned
L029,"low-touch,low-margin,",low,misaligned
L030,"modular,scalable,emerging",high,aligned